﻿name,lyric
出頭天,天在我的天頂 甘有人會看見看到我不甘願這樣過一生在我的一生 我甘願來相信每一朵花都有自己的春天在我的天頂 大雨落不停也不能改變我的固執永遠等待 那一日 咱可以出頭天人生不怕風浪 只怕自己沒志氣那一日 咱可以出頭天我盼望的日子 會真快 來到我身邊在我的天頂 甘有人在保佑為怎樣我常常摔的頭殼流血 在   血乾會結痂 失敗也不失志成功是咱自己看自己得起飄浪的日子 等待著時機我不信命運會這麼無情永遠等待 那一日 咱可以出頭天人生不怕風浪 只怕自己沒志氣那一日 咱可以出頭天我盼望的日子 會真快 來到我身邊永遠等待 那一日 咱可以出頭天人生不怕風浪 只怕自己沒志氣那一日 咱可以出頭天我盼望的日子 會真快 來到我身邊
別惹我,天別惹我　別惹我　我忍了很久　別惹我　別惹我　不要靠近我爛機車　又熄火　爛電話不通　爛藉口　爛朋友　好爛的生活我放縱　我墮落　是我的自由別插手　別囉嗦　管的真多今　天　不要惹我　告訴你在今天　不要惹我自　由　讓我自由　告訴你多少次　不要惹我別惹我　別惹我　我忍了很久　別惹我　別惹我　不要靠近我我沒錢　沒成就　但是我有夢　我很狂　我很瘋　我為自己活閃　閃　閃　閃
勇敢(國語版),可能庸碌一生 長短都一樣也許熬到明天 厭倦了希望眼看一直忍讓 變成擅長不斷遺憾 不斷遺忘冷血 熱汗 晾不乾天的光 太暗如果這個時代 不歡迎理想莫非想活下去 只好撒點謊撫心自問 頑抗還是投降不管倔強 還是堅強既然隨遇更不安無論螻蟻螳螂 我都不做命運的囚犯也不問贏得慘淡 輸得燦爛 向世界挑戰有時候招惹麻煩 也會慌亂 也想過躲藏也不管這條路上 少人來往聽從內心的呼喚膽量也會成長要自己勇敢再勇敢如果徬徨人間 只能走一趟 在   寧願我的名字 叫作不自量哭的理直氣壯 笑的心酸心中坦蕩 不怕跌宕一字一淚也不枉一步一生一世 一定不做命運的囚犯也不問贏得慘淡 輸得燦爛 向世界挑戰有時候招惹麻煩 也會慌亂 也想過躲藏也不管這條路上 少人來往聽從內心的呼喚膽量也會成長要自己勇敢再勇敢風無情 浪無常 不輸給風浪人在做 人在看 不在乎目光這種孤獨 不會孤單 有你來作伴也不問贏得慘淡 輸得燦爛 向世界挑戰有時候招惹麻煩 也會慌亂 也想過躲藏也不管這條路上 少人來往聽從內心的呼喚膽量也會成長我們要勇敢再勇敢
反而,天想要執著　反而蹉跎　越是等候　反而越是錯過找到成就　反而墜落　越是溫暖　反而越是折磨寂寞　太多寂寞　反而喧嘩　擁擠著我自由　太多自由　反而想作籠裡的野獸而你　是否看穿了我　看穿了我　假裝的冷漠 在   而你　是否害怕著我　反而帶走屬於我的溫柔看的清楚　反而朦朧　越是瞭解　反而越是惶恐保持沉默　反而脆弱　越是忍耐　反而越是洶湧自由　太多自由　反而想做籠裡的野獸
叫我第一名,天你說我這款人可以衝啥　你說我最好丟進垃圾車你說我這款人可以衝啥　電影看了吃宵夜擱去唱歌＃吃飽睏　睏飽吃　你賣想這多　說到七桃　我就走　有什麼代誌　一定要計較輸贏　啦...愛玩才會贏　啦...誰人倘跟我拼　啦...你問我叫啥米名 在   　啦...叫我第一名你說晚時倒垃圾早時堵車　你說寒天太寒熱天太熱你說甲意的人無甲意你啦　你說人生的路那會這陡
向前走,武火車漸漸在起走　再會我的故鄉跟親戚親愛的父母再會吧　到陣的朋友告辭啦阮欲來去台北打拼　聽人講啥物好空的攏在那朋友笑我是愛做瞑夢的憨子　不管如何路是自已走OH! 再會吧 OH! 啥物攏不驚 OH! 再會吧 OH!向前走車站一站一站過去啦　風景一幕一幕親像電影 在   把自已當作是男主角來扮　雲遊四海可比是小飛俠不管是幼稚還是樂觀　後果若安怎自已就來擔原諒不孝的子兒吧　趁還少年趕緊來打拼OH! 再會吧 OH! 啥咪　攏不驚 OH! 再會吧 OH!向前走台北台北台北車頭到啦　欲下車的旅客請趕緊下車頭前是現代的台北街頭　我的理想和希望攏在這一棟一棟的高樓大廈　不知有住多少像我這款的憨子卡早聽人唱台北不是我的家　但是我一點攏無感覺 感謝 周舟  修正歌詞
啾啾啾,Chu Chu Chu天天天頭殼裡面攏裝書　攏無所在裝著阮的靈魂心肝裡面是心事　我不敢想眼淚會一直噴想要沒煩惱　沒憂愁來晃頭　來跳舞喔喔喔　喔喔喔　啾啾啾耶耶耶　啾啾啾　喔喔喔　啾啾啾耶耶耶　啾啾啾　啾啾啾啾啾啾 在   應該是彩色人生　這個時陣　那會感覺愛睏檢查著我的目珠　你甘看有　什麼色的鬱卒想要變快樂　變單純　想要牽　伊的手喔喔喔　啾啾啾　沒煩惱　沒憂愁喔喔喔　啾啾啾　放輕鬆　來跳舞[ti:啾啾啾(Chu Chu Chu)][ar:][al:人生海海][offset:500]
嘿我要走了,天輕輕閉上眼睛　此刻我覺得清醒已經不需要　一些挽留字句這絢爛新世紀　深情已不受歡迎愛的那麼用力　卻好像一場鬧劇嘿　我要走了　昨天的對白　已不再重要我已見過最美的一幕　只是在此刻　都要結束 在   你我不斷找尋　然後再不斷放棄不斷犯錯　然後卻不斷遠離如果你還肯聽　我想說聲我愛你反正自做多情　是我看家本領輕輕閉上眼睛　此刻我覺得清醒已經不需要　一些挽留字句這絢爛新世紀　深情已不受歡迎收拾我的行李　去找尋新的自己　都要結束
噢買尬,漢神巨蛋廣告歌曲噢買尬　噢買尬　真的太久不見啦　我隨時OK 就等你電話哭啊哭啊　哭啊哭到　眼淚都乾啦　哭到海灘只剩下沙整個世界　只剩下你　聽我說話　一直到　天黑也不回家混啊混啊　混啊混到　天空都老啦　計畫依然沒有變化剩下我們　說的神話　夢話廢話　就這樣　陪著我到長大噢買尬　噢買尬　這是一定要的啊　喝到掛　唱到啞　笑到流淚　哭到趴噢買尬　噢買尬　真的太久不見啦　我隨時OK 就等你電話巴黎鐵塔　東京鐵塔　蛋塔金字塔　回憶慢慢積沙成塔 在   回憶回不去了　但你一起來了　一起到　更遠的未來吧無猜無邪　無私無暇　的友情無價　你是買不到的奢華天涯有天　風景有風　浪花有花　再加上　我有你就夠啦噢買尬　噢買尬　這是一定要的啊　喝到掛　唱到啞　笑到流淚　哭到趴噢買尬　噢買尬　真的太久不見啦　我隨時OK 就等你電話噢買尬　噢買尬　這是一定要的啊　喝到掛　唱到啞　笑到流淚　哭到趴噢買尬　噢買尬　真的太久不見啦　我隨時OK 等你電話老地方見 等你電話　無時無刻 等你的電話　我隨時OK 就等你電話
回來吧,天那年煙花　滿天幸福的爆炸　看　他的眼睛　捨不得眨　倒映著火花他笑著說　相愛就要幸福呀　懂　但是我們　都把幸福　揮霍完了嗎回憶　越美　越可怕　越掙扎　眼淚越是要落下＃回來吧　難道你不懷念嗎　最深愛時你曾說過　我們就是童話　回來吧　我還一直在等啊　我一直在等啊　我會永遠在這裡　只要你回來吧所有的人　都說時間是魔法　說　總有一天　我能忘記　最深愛的他為什麼呢　想念每天都增加　痛　鑽進靈魂　佔據回憶　在生命發芽 在   吶喊　掙扎　期待的　未來啊　難道這麼算了嗎Repeat ＃回來吧　難道你不懷念嗎　最深愛時你曾說過　我們就是童話回來吧　我還一直在等啊　我一直在等啊　不管有什麼代價Repeat ＃快回來吧　期待的未來這麼算了嗎快回來吧
在這一秒,為什麼看著我笑　又給我一個擁抱前一秒明明心情糟　這一秒突然變好好多人一直在找　找什麼沒人知道他們的眼神在咆哮　其實我知道解藥在這一秒　快樂最重要　眼淚到哪裡去了　我不　知道從這一秒　快樂最重要　多想要盡情胡鬧　跳的　更高 在   時間它雖然重要　也不必抓的太牢才切過二十歲的蛋糕　怎麼就覺得變老終點前突然跌倒　還被人踩了一腳人生雖然像是賽跑　過程比名次美妙在這一秒　快樂最重要　眼淚到哪裡去了　我不　知道從這一秒　快樂最重要　多想要盡情胡鬧　跳的　更高
垃圾車,天雖然你脾氣壞　對待朋友又差　凸槌又更愛牽拖佳在你遇到我　不愛計較的我　算你壞人有好命我走路你坐車　你吃飯我洗碗　你被欺負我拚命若為了爽到你　可以艱苦到我　因為咱緣分不可散＊有你　我才未孤單　有你的陪伴　我才有靠山　你若不爽　我是你的垃圾車　每天聽你的心聲 在   ＃有你　我才未孤單　有你的陪伴　我才有靠山　你若歡喜　我是你的垃圾車　每天為你唱歌愛情有影傷肝　想到我就會驚　親像熱天洗溫泉頭暈目暗的我　愛到整身軀汗　我歡喜又擱甘願　給你快活Repeat　＊,＃　＊,＃為你唱歌　啦～～
夜訪吸血鬼,滿懷憂傷卻流不出淚 極度的疲憊卻不能入睡只能夠日日夜夜 然後又日日夜夜 無盡的日日夜夜 永遠的深陷在人間我是蝙蝠卻不能飛 困在日復一日的街 無止盡的狩獵 彷彿一種天譴夜色就是我的披肩 日出就是我的風險 舞池裡的狂顛 是我宿命制約上帝遺棄我們 卻又要給 黯淡的月 照亮世界 要我們無盡又無情的繁衍看愛過的人 一一告別 做過的夢 一一凋謝 只留下我獨自殘喘的千年無法揮舞天使的純潔 也無法擁有魔鬼的果決只有像每個人類 貪嗔痴傻和愚昧 找尋著體溫和血 找尋著同類滿懷憂傷卻流不出淚 極度的疲憊卻不能入睡只能夠日日夜夜 然後又日日夜夜 無盡的日日夜夜 永遠的深陷在人間飢餓是最好的調味 孤獨是最強的催眠 瘋狂找一雙唇 能夠當我酒杯早就對這一切厭倦 也曾憤怒喝下聖水 卻又無助醒在 下個漫長黑夜 在   青春遺忘我們 卻又要給 回憶的美 就像玫瑰 要餘生流血又流淚的受虐看鏡中的臉 慢慢枯萎 高舉的拳 漸漸粉碎 只留下了無限唏噓的相片無法揮舞天使的純潔 也無法擁有魔鬼的果決只有像每個人類 貪嗔痴傻和愚昧 找尋著體溫和血 找尋著同類滿懷憂傷卻流不出淚 極度的疲憊卻不能入睡只能夠日日夜夜 然後又日日夜夜 無盡的日日夜夜 永遠的深陷在人間無法揮舞天使的純潔 也無法擁有魔鬼的果決只有像每個人類 貪嗔痴傻和愚昧 找尋著體溫和血 找尋著同類滿懷憂傷卻流不出淚 極度的疲憊卻不能入睡只能夠日日夜夜 然後又日日夜夜 無盡的日日夜夜 永遠的深陷在人間一個又一個孤單的千年 我日日夜夜 然後又日日夜夜 無盡的日日夜夜我不能飛
天使,你就是我的天使 保護著我的天使 從此我再沒有憂傷你就是我的天使 給我快樂的天使 甚至我學會了飛翔飛過人間的無常 才懂愛才是寶藏不管世界變得怎麼樣 只要有你就會是天堂像孩子依賴著肩膀 像眼淚依賴著臉龐你就像天使一樣 給我依賴 給我力量像詩人依賴著月亮 像海豚依賴海洋你是天使 你是天使你是我最初和最後的天堂你就是我的天使 保護著我的天使 從此我再沒有憂傷你就是我的天使 給我快樂的天使 甚至我學會了飛翔飛過人間的無常 才懂愛才是寶藏不管世界變得怎麼樣 只要有你就會是天堂像孩子依賴著肩膀 像眼淚依賴著臉龐你就像天使一樣 給我依賴 給我力量 在   像詩人依賴著月亮 像海豚依賴海洋你是天使 你是天使你是我最初和最後的天堂像孩子依賴著肩膀 像眼淚依賴著臉龐你就像天使一樣 給我依賴 給我力量像詩人依賴著月亮 像海豚依賴海洋你是天使 你是天使你是我最初和最後的天堂像孩子依賴著肩膀 像眼淚依賴著臉龐你就像天使一樣 給我依賴 給我力量像詩人依賴著月亮 像海豚依賴海洋你是天使 你是天使你是我最初和最後的天堂
好不好,天不知　是對或是不對　不知　是好或是不好不知你　甘會笑阮憨夏天　西北雨的下午　想你　不知影你在哪真希望　看到你的笑容你的溫暖充滿著阮孤單的心臟我不能繼續再等待想要對你說乎你想　乎你猜　是誰人整眠煩惱煩惱著　無情的風　無情的雨　阻礙咱的路 在   甲你疼　甲你惜　甲你捧在我雙手中我一生唯一的希望　要給你快樂　好或不好日子　有甜也有艱苦　有你　有我互相照顧想要聽　你心內的感想親愛　你甘有聽阮講　親愛　到底是好不好甘講你驚阮沒　信用還是你擱有苦衷你的溫暖充滿著阮孤單的心臟我等待不能再繼續　想要對你講
好好(想把你寫成一首歌),想把你寫成一首歌 想養一隻貓想要回到每個場景 撥慢每隻錶我們在小孩和大人的轉角 蓋一座城堡我們好好 好到瘋掉 像找回失散多年雙胞生命再長不過 煙火 落下了眼角世界再大不過 你我 凝視的微笑在所有流逝風景與人群中 你對我最好一切好好 是否太好 沒有人知道你和我背著空空的書包逃出名為日常的監牢忘了要長大忘了要變老忘了時間有腳最安靜的時刻 回憶 總是最喧囂最喧囂的狂歡 寂寞 包圍著孤島還以為馴服想念能陪伴我 像一隻家貓它就窩在 沙發一角 卻不肯睡著 在   你和我曾有滿滿的羽毛跳著名為青春的舞蹈不知道未來不知道煩惱不知那些日子 會是那麼少時間的電影 結局才知道原來大人已沒有童謠最後的叮嚀最後的擁抱我們紅著眼笑「我們都要把自己照顧好」好到遺憾無法打擾好好的生活好好的變老好好假裝 我已經把你忘掉[ti:好好 (想把你寫成一首歌)][ar:][al:自傳][by:GetNoTogether]
如果我們不曾相遇,如果我們不曾相遇 我會是在哪裡？如果我們從不曾相識 不存在這首歌曲每秒都活著 每秒都死去 每秒都問著自己誰不曾找尋 誰不曾懷疑 茫茫人生奔向何地？那一天 那一刻 那個場景 你出現在我生命從此後 從人生 重新定義 從我故事裡甦醒如果我們不曾相遇 你又會在哪裡？如果我們從不曾相識 人間又如何運行？曬傷的脫皮 意外的雪景 與你相依的四季蒼狗又白雲 身旁有了你 匆匆輪迴又有何懼？那一天 那一刻 那個場景 你出現在我生命每一分 每一秒 每個表情 故事都充滿驚奇 在   「偶然與巧合 舞動了蝶翼 誰的心頭風起」「前仆而後繼 萬千人追尋 荒漠唯一菩提」「是擦身相遇 或擦肩而去 命運猶如險棋」「無數時間線 無盡可能性 終於交織向你」那一天 那一刻 那個場景 你出現在我生命未知的 未來裡 未定機率 然而此刻擁有你某一天 某一刻 某次呼吸 我們終將再分離而我的 自傳裡 曾經有你 沒有遺憾的詩句詩句裡充滿感激如果我們不曾相遇 我會是在哪裡？如果我們從不曾相識 不存在這首歌曲
如煙,我坐在床前 望著窗外 回憶滿天生命是華麗錯覺 時間是賊 偷走一切七歲的那一年 抓住那隻蟬 以為能抓住夏天十七歲的那年 吻過他的臉 就以為和他能永遠有沒有那麼一種永遠 永遠不改變擁抱過的美麗都 再也不破碎讓險峻歲月不能在臉上撒野 讓生離和死別都遙遠有誰能聽見我坐在床前 轉過頭看 誰在沉睡那一張蒼老的臉 好像是我 緊閉雙眼曾經是愛我的 和我深愛的 都圍繞在我身邊帶不走的那些 遺憾和眷戀 就化成最後一滴淚有沒有那麼一滴眼淚 能洗掉後悔化成大雨降落在 回不去的街再給我一次機會 將故事改寫還欠了他一生的 一句抱歉有沒有那麼一個世界 永遠不天黑星星太陽萬物都 聽我的指揮月亮不忙著圓缺 春天不走遠樹梢緊緊擁抱著樹葉 有誰能聽見 在   耳際 眼前 此生重演 是我來自漆黑 而又回歸漆黑人間 瞬間 天地之間 下次我 又是誰有沒有那麼一朵玫瑰 永遠不凋謝永遠驕傲和完美 永遠不妥協爲何人生最後會像一張紙屑還不如一片花瓣曾經鮮豔有沒有那麼一張書籤 停止那一天最單純的笑臉和 最美那一年書包裡面裝滿了蛋糕和汽水雙眼只有無猜和無邪 讓我們無法無天有沒有那麼一首詩篇 找不到句點青春永遠定居在 我們的歲月男孩和女孩都有吉他和舞鞋笑忘人間的苦痛 只有甜美有沒有那麼一個明天 重頭活一遍讓我再次感受曾 揮霍的昨天無論生存或生活 我都不浪費 不讓故事這麼的後悔有誰能聽見 我不要告別我坐在床前 看著指尖 已經如煙 感謝 阿靖  修正歌詞
孫悟空,天兵荒馬亂五百年來沒改變過　花果山下滿天的烽火人類累不累啊還在你爭我奪　西天取經回來後　有沒有人有讀過師父每年都會寄卡片來問候　五百張了算多不算多看到卡片我都想起那段奮鬥　金箍棒那麼神勇　現在只能掏掏耳朵齊天大聖是我　誰能奈何了我但是我卻依然　不小心敗給了寂寞＊如果要讓我活　讓我有希望的活(請給我快樂苦痛)　我從不怕愛錯　就怕沒愛過 在   ＃如果能(當)有一天　再一次重返光榮　記得找我　我的好朋友聽說悟淨已經植髮治好禿頭　有了論及婚嫁的女友八戒這個豬頭手機老是不通　好色本性多雋永　好像時間從來沒走西天取完了經　東邊應該還有夥伴們好不好　讓我們再拯救地球Repeat ＊,＃　(＊),＃,＊,＃記得找我　我的好朋友
寂寞星球,如果我是石頭　就要劃破天空　像流星電光石火如果我是淚水　就要血一樣紅　讓誰都看見我一千年後　一萬年後　故事都隨風寂寞星球　人人寂寞　現在就靠近我難道愛你　才讓我更寂寞 在   回憶童年唱遊　轉眼惆悵宇宙　有誰能夠逗留靈魂能有多重　為何刮起狂風　還是不能飛走五月的雪　覆蓋沙漠　溶化以後　愛是綠洲
寵上天,你愛看鬼片　又怕看鬼片　就要我陪坐在你身邊　很想告訴你　我比你還怕鬼我無時無刻　都無怨無悔　讓你無憂又無慮　每一天你一個口令　我一個動作　絕不拖延你一個皺眉　我三條黑線　整個高度警戒我無時無刻　都無怨無悔　讓你無法又無天　的撒野是我的　朋友　就是　我的ｂａｂｙ就算你　打我　踢我　也都ｏｋ就是要　寵你　寵你　寵上了天天堂　整個　搬到你身邊是一座堡壘　是一種哲學　我們之間是一股熱血　是一句乾杯　也是一種永遠 在   我無時無刻　都無怨無悔　讓愛無窮又無盡　萬萬歲是我的　朋友　就是　我的ｂａｂｙ就算你　打我　踢我　也都ｏｋ就是要　寵你　寵你　寵上了天天堂　整個　搬到你身邊是我的　朋友　就是　我的ｂａｂｙ你想要　蹂躪　虐待　也都隨便就是要　寵你　寵你　寵上了天讓誰都羨慕　都讚美讓誰都傻眼
將軍令,天、張博凱在等誰 一聲下令以後才想起 呼吸你的自由從何時 習慣這種生活 Oh ～不相信 或是相信什麼其實你 早已被決定過你忍受 但是不願接受 Oh ～歷史 落在 贏家 之手至少 我們 擁有 傳說誰說 敗者 無法 不朽 Oh ～拳頭 只能 讓人 低頭念頭 卻能 讓人 抬頭抬頭 去看 去愛 去追 你心中的夢此生到盡頭 你是誰 曾怎麼活他們說 就讓他們去說生命如長風 吹過誰 的心頭你想被記住 的那個名字 將會是什麼大時代 你我都是蜉蝣在昨天 你我還是頑童而今天 雙肩如此沈重 Oh ～一首歌 只是靡靡唱遊或者能 讓誰看見宇宙 在   全看你 願意聽見什麼 Oh ～星月 從來 只能 沉默微光 多難 照遍 角落只求 點亮 你的 瞳孔 Oh ～戰場 不會 放過 你我直到 人們 覺醒 自我何時 不盼 不求 不等 將軍或英雄此生到盡頭 你是誰 曾怎麼活他們說 就讓他們去說生命如長風 吹過誰 的心頭你想被記住 的那個名字 將會是什麼蒼空盼飛鴻 蒼生等英雄我們顛沛千年依然還在等候失去了土地 失去了天空自問 不能失去什麼此刻到永久 你是誰 要怎麼活為什麼 還在問為什麼生命如長風 風中誰 在問我你想被記住 的那個名字 將會是什麼你相信什麼 你執著什麼 你就是什麼[ti:將軍令][ar:][al:電影 黃飛鴻之英雄有夢][by:音璃]
小太陽,天多麼難忘 是你純真的模樣突然的吻 瀰漫著茶香多麼嚮往 夢想總是在他方你說等我 不管多漫長你就是太陽 蒸發了彷徨所以挖開土壤 種下希望 離開了故鄉看著你的眼眶 忍著淚 閃著光我會很快回來 繼續我們 未完的天堂 在   看著你的臉龐 微笑著 要我去闖你的盼望 是我握在手中 小小的太陽念念不忘 此刻應該是農忙如畫風光 有你在歌唱你就是太陽 照亮了方向你讓地球旋轉 月亮發光 讓我有翅膀看著你的眼眶 忍著淚 閃著光我會很快回來 繼續我們 未完的天堂看著你的臉龐 微笑著 要我去闖你的盼望是我 握在手中 小小的太陽
小時候,生生生/小時候　我一直有個夢有一天　我要飛上外太空就像夏夜繁星閃爍　幻想我能穿梭其中你有沒有過　你有沒有過小時候　渴望碩壯的成熟長大後　我有雪亮的天空風雨卻讓世界不同　面對遍體鱗傷的痛你有沒有放棄夢想的衝動 在   當你的心已累　以為失去了一切其實等在前面　還有一整個世界當你的愛已碎　以為純真會幻滅其實等在前面還有一整個新的視野　新的起點小時候　我一直有個夢有一天　我要飛上外太空即使越來越淡的星座　越來越遠的神話傳說我不會忘記在夏夜的時空遨遊
小護士,天醫生剛走　剛剛把門關上　整個病房　突然party一樣她走進來　像天使放光芒　各位色狼　不要對她幻想＃小護士啊　你讓我們健康　但太健康　又怕你離開身旁＊矛盾的我　我好想　我好想　我好想　再為你受點傷醫生都說　治療不如預防　自從她來　沒人想要預防 在   愛喝酒的　她叫你小心肝　心太軟的　她說你要堅強小護士啊　好像想對我講又不能講　沒事就常來逛逛矛盾的我　我好像　我好像　我好像　已經病入膏肓Repeat　＃,＊多情的人　隊伍排到街上　他頭髮痛　我的心也好燙
少年他的奇幻漂流,午夜前醒來 迷惘如海 繁星忘了燦爛我們是小孩 都曾是小孩 誕生在這艘船人們口中方舟 像一葉小船耳語溢出甲板 風雨搖晃旗竿人們切開山巒 剪下了雲彩削成了萬支槳 縫製風帆尋找 吶喊 未知的未來我們會航向怎樣的未來？無數命運流轉 打造了 無數的相異的羅盤當巨浪排山倒海的襲來我們的手鬆開 心也潰散每個人 每顆心 風暴 流竄諸神已離開 鬼在狂歡 而人們在糾纏誰生錯血脈 誰長錯色彩 誰夢錯了期待？漂流無邊汪洋 不叫做孤單夜色的最黑暗 那不是最黑暗而是人們無窮 無盡的爭端將你我推向了 最遠兩端 在   異端 極端 遺落的遺憾我們會航向怎樣的未來？無數命運流轉 打造了 無數的相異的羅盤如果世界只剩你我存在？為何人們依然 爭論著 那未來而踐踏著現在我們該珍惜如何的現在？無數交織自傳 相遇在 汪洋中當你抬頭看何時那萬種漸層的斑斕已默默綻放在 黑夜終端那雲端 那光芒 像是 皇冠朝霞中呢喃 釋然如海 你向我靠過來誰說要龐大 才能夠偉大 我們如此存在歷經摧殘 就要璀璨如果愛不只是奇幻[ti:少年他的奇幻漂流][ar:][al:自傳][by:GetNoTogether]
就在今夜,就在今夜我要悄悄離去因為你曾經說　你對我感覺不再溫柔就在今夜我要悄悄離去也許你不相信　可是我願你記得這句話這句話就是我想你　雖然你已經不愛我就在今夜我要離去　就在今夜一樣想你雖然心中難過　但面對你的冷漠只有輕輕留下一句　我想你就在今夜我要離去　就在今夜一樣想你雖然心中難過　但面對你的冷漠只有輕輕留下一句　我想你就在今夜我要悄悄離去因為你曾經說　你對我感覺'不再'溫柔'就在今夜我要說一句話' 在   也許你不相信　可是我願你記得這句話這句話就是我想你　雖然你已經'不'愛我就在今夜我要離去　就在今夜一樣想你雖然心中難過　但面對你的冷漠只有輕輕留下一句　我想你就在今夜我要離去　就在今夜一樣想你雖然心中難過　但面對你的冷漠只有輕輕留下一句 ~就在今夜我要離去　就在今夜一樣想你雖然心中難過　但面對你的冷漠只有輕輕留下一句　我想你就在今夜我要離去　就在今夜一樣想你雖然心中難過　但面對你的冷漠只有輕輕留下一句 我想你喔~~喔喔~~~想你想你 想你想你~~嗚~~耶耶耶耶 耶耶 耶
左鍵,少男少女Icq()()天/陳建良那高牆　將要倒下紅燈熄滅　時間傾斜開出玫瑰你的眼前　我的眼前隻字片言　變得熱烈我愛上火熱的左鍵帶我到世界的另一面有你的那一面 在   我穿過　訊號蜿蜒到你心田開始冒險　世外桃源你的故事　甜美新鮮想要更多　你給不給住在這　冰冷世界不停厭倦　巨大謊言靈魂擱淺
年華,那鞦韆孤獨的搖　曾經是誰的快樂在上面擺盪草原上搖曳著的花啊　陽光蒸發了無人的喧嘩那孩子離開而且長大　發現旅途上並不盛開繁花一路上追逐白色飛馬　來到了陌生的霓虹生涯如果說不回頭　不必害怕　我的幸福總有解答為何我還追逐著　追逐那夢中童話 在   星斗般迷幻的舞池中　大聲的喊出了這才是人生啊在午夜的喧鬧中融化　在日出的疲勞中無力掙扎那以為可以的永遠啊　為什麼短暫的令人驚訝那男孩背影后的瀟灑　帶走了永遠神秘的解答如果說不回頭　不必害怕　我的幸福總有解答為何我還追逐著　追逐那夢中童話如果說不回頭　不必害怕　人生理想總會到達為何我還追憶著　追憶那似水年華　追憶似水年華
年輕就要對味,你就像麻辣鍋　有了你很快活　一天不吃就難過你就像黃金甲　穿著你很暖和　不怕有人欺負我眼神可以交流　心跳可以溝通　有錢可以借你用一點點的倔強　一點點的幽默　對味就是有你有我有你陪我一起瘋　天天放煙火　分分都感動對味的人　對味的幸福更濃　不說你也能夠懂 在   有你陪我一起瘋　天天放煙火　分分都感動對味的人　對味的快樂更多　對味是我的朋友你就像方便麵　只要熱水一沖　友情馬上香又濃水煮麻辣笑話　紅燒熱情感動　我說　年輕就要對味　不要理由有你陪我一起瘋　天天放煙火　分分都感動對味的人　對味的幸福更濃　不說你也能夠懂有你陪我一起瘋　天天放煙火　分分都感動對味的人　對味的快樂更多　對味是我的朋友 感謝 斕熙  修正歌詞
彩虹,坐在浴缸裡　蓮蓬頭代替我哭泣　像下雨其實我不知道　眼淚有沒有流就像這故事中　你有沒有愛過我虛弱的窗簾　留不住房裡的黑夜　也要走清晨喚醒了我　照亮昨夜的夢一直到這時候　才開始有一點懂你的愛就像彩虹　雨後的天空絢爛卻叫人迷惑　藍綠黃紅(你的輪廓) 在   你的愛就像彩虹　我張開了手卻只能抱住風吻我離開我　你就像出太陽下雨　難捉摸越是努力揣摩　越是搞不懂只好慢慢承認　這故事叫做錯喔　一層一層一層一層一層一層又一層層　的迷宮　我來不及回頭喔　忽左忽右忽上忽下忽東忽西忽前忽後　的折磨　都是你的捉弄
後來的我們,然後呢 他們說你的心 似乎痊癒了也開始有個人 為你守護著我該心安或是 心痛呢然後呢其實我的日子 也還可以呢除了回憶肆虐 的某些時刻慶幸還有眼淚 沖淡苦澀而那些昨日 依然繽紛著它們都有我 細心收藏著也許你還記得 也許你都忘了也不是那麽 重要了只期待 後來的你 能快樂那就是 後來的我 最想的後來的我們 依然走著只是不再並肩了朝各自的人生 追尋了無論是 後來故事 怎麽了也要讓 後來人生 精彩著後來的我們 我期待著淚水中能看到 你真的 自由了親愛的回憶我們共同 走過的曲折是那些帶我們 來到了這一刻讓珍貴的人生 有失有得 在   用新的幸福 把遺憾包著 就這麽朝著 未來前進了有再多的不捨 也要狠心割捨別回頭看我 親愛的只期待 後來的你 能快樂那就是 後來的我 最想的後來的我們 依然走著只是不再並肩了朝各自的人生 追尋了無論是 後來故事 怎麽了也要讓 後來人生 精彩著後來的我們 我期待著淚水中能看到 你真的 幸福快樂在某處 另一個你 留下了在那裏 另一個我 微笑著另一個我們 還深愛著代替我們永恆著如果能這麽想 就夠了無論是 後來故事 怎麽了也要讓 後來人生 值得後來的我們 我期待著淚水中能看到 你真的 自由了[00:-1.66]
後青春期的詩,當煙霧隨晨光飄散 枕畔的湖已風乾期待已退化成等待 而我告別了突然當淚痕勾勒著遺憾 回憶誇飾著傷感 逝水比喻時光荏苒終於我們不再 為了生命狂歡　為愛情狂亂然而青春彼岸　盛夏正要一天一天一天的燦爛 在   (阿信口白：然後呢 一起走吧)誰說不能讓我　此生唯一自傳　如同詩一般無論多遠未來　讀來依然一字一句一篇都燦爛讓天空解釋著蔚藍　浮雲定義著潔白落花鋪陳一片紅色地毯　迎接我們到未來　精彩未完的未來
